Date,Price Per Gallon
"Jan 06, 2020",3.181
"Jan 13, 2020",3.134
"Jan 20, 2020",3.142
"Jan 27, 2020",3.107
"Feb 03, 2020",3.108
"Feb 10, 2020",3.129
"Feb 17, 2020",3.125
"Feb 24, 2020",3.116
"Mar 02, 2020",3.125
"Mar 09, 2020",3.123
"Mar 16, 2020",3.079
"Mar 23, 2020",2.892
"Mar 30, 2020",2.766
"Apr 06, 2020",2.702
"Apr 13, 2020",2.656
"Apr 20, 2020",2.573
"Apr 27, 2020",2.543
"May 04, 2020",2.531
"May 11, 2020",2.581
"May 18, 2020",2.565
"May 25, 2020",2.615
"Jun 01, 2020",2.591
"Jun 08, 2020",2.638
"Jun 15, 2020",2.68
"Jun 22, 2020",2.729
"Jun 29, 2020",2.764
"Jul 06, 2020",2.753
"Jul 13, 2020",2.776
"Jul 20, 2020",2.839
"Jul 27, 2020",2.837
"Aug 03, 2020",2.832
"Aug 10, 2020",2.836
"Aug 17, 2020",2.844
"Aug 24, 2020",2.858
"Aug 31, 2020",2.868
"Sep 07, 2020",2.868
"Sep 14, 2020",2.857
"Sep 21, 2020",2.851
"Sep 28, 2020",2.831
"Oct 05, 2020",2.827
"Oct 12, 2020",2.815
"Oct 19, 2020",2.794
"Oct 26, 2020",2.779
"Nov 02, 2020",2.778
"Nov 09, 2020",2.779
"Nov 16, 2020",2.8
"Nov 23, 2020",2.812
"Nov 30, 2020",2.81
"Dec 07, 2020",2.812
"Dec 14, 2020",2.774
"Dec 21, 2020",2.781
"Dec 28, 2020",2.789
"Jan 04, 2021",2.798
"Jan 11, 2021",2.829
"Jan 18, 2021",2.876
"Jan 25, 2021",2.886
"Feb 01, 2021",2.904
"Feb 08, 2021",2.965
"Feb 15, 2021",2.991
"Feb 22, 2021",3.065
"Mar 01, 2021",3.159
"Mar 08, 2021",3.219
"Mar 15, 2021",3.305
"Mar 22, 2021",3.382
"Mar 29, 2021",3.409
"Apr 05, 2021",3.419
"Apr 12, 2021",3.42
"Apr 19, 2021",3.437
"Apr 26, 2021",3.455
"May 03, 2021",3.5
"May 10, 2021",3.532
"May 17, 2021",3.582
"May 24, 2021",3.607
"May 31, 2021",3.626
"Jun 07, 2021",3.665
"Jun 14, 2021",3.659
"Jun 21, 2021",3.658
"Jun 28, 2021",3.715
"Jul 05, 2021",3.761
"Jul 12, 2021",3.824
"Jul 19, 2021",3.858
"Jul 26, 2021",3.873
"Aug 02, 2021",3.883
"Aug 09, 2021",3.917
"Aug 16, 2021",3.916
"Aug 23, 2021",3.923
"Aug 30, 2021",3.93
"Sep 06, 2021",3.937
"Sep 13, 2021",3.937
"Sep 20, 2021",3.92
"Sep 27, 2021",3.902
"Oct 04, 2021",3.902
"Oct 11, 2021",3.908
"Oct 18, 2021",3.914
"Oct 25, 2021",3.949
"Nov 01, 2021",3.951
"Nov 08, 2021",3.924
"Nov 15, 2021",3.928
"Nov 22, 2021",3.942
"Nov 29, 2021",3.931
"Dec 06, 2021",3.921
"Dec 13, 2021",3.904
"Dec 20, 2021",3.892
"Dec 27, 2021",3.88
"Jan 03, 2022",3.913
"Jan 10, 2022",3.999
"Jan 17, 2022",4.02
"Jan 24, 2022",4.017
"Jan 31, 2022",4.038
"Feb 07, 2022",4.029
"Feb 14, 2022",4.028
"Feb 21, 2022",4.055
"Feb 28, 2022",4.099
"Mar 07, 2022",4.513
"Mar 14, 2022",4.814
"Mar 21, 2022",4.75
"Mar 28, 2022",4.766
"Apr 04, 2022",4.702
"Apr 11, 2022",4.66
"Apr 18, 2022",4.663
"Apr 25, 2022",4.691
"May 02, 2022",4.708
"May 09, 2022",4.814
"May 16, 2022",4.994
"May 23, 2022",5.2
"May 30, 2022",5.241
"Jun 06, 2022",5.416
"Jun 13, 2022",5.549
"Jun 20, 2022",5.518
"Jun 27, 2022",5.461
"Jul 04, 2022",5.405
"Jul 11, 2022",5.308
"Jul 18, 2022",5.162
"Jul 25, 2022",5.081
"Aug 01, 2022",5.004
"Aug 08, 2022",4.886
"Aug 15, 2022",4.811
"Aug 22, 2022",4.785
"Aug 29, 2022",4.738
"Sep 05, 2022",4.639
"Sep 12, 2022",4.67
"Sep 19, 2022",4.653
"Sep 26, 2022",4.867
"Oct 03, 2022",5.365
"Oct 10, 2022",5.504
"Oct 17, 2022",5.287
"Oct 24, 2022",5.049
"Oct 31, 2022",4.934
"Nov 07, 2022",4.879
"Nov 14, 2022",4.901
"Nov 21, 2022",4.822
